,Survived,Pclass,Sex,Embarked,Title,AGE,FamilySize
0,0,2,1,2,Mrs,Adults,0
1,0,3,1,2,Mrs,Adults,0
2,0,3,1,2,Mrs,Adults,0
3,0,3,0,2,Mrs,Adults,4
4,0,1,1,2,Mrs,Adults,1
5,0,3,1,2,Mrs,Adults,2
6,0,3,1,2,Mrs,Adults,0
7,1,3,0,0,Miss,child,2
8,0,3,1,2,Mrs,Adults,0
9,1,2,0,2,Mrs,Adults,1
10,0,2,1,2,Mrs,Adults,0
11,0,3,0,2,Miss,Adults,0
12,1,2,0,2,Mrs,Adults,3
13,0,2,1,2,Mrs,Adults,1
14,0,3,1,1,Mrs,Adults,0
15,0,3,1,2,Mrs,teenager,0
16,0,1,1,0,Mrs,Adults,2
17,0,3,1,0,Mrs,teenager,2
18,0,2,1,2,Mrs,Adults,2
19,1,1,1,2,Mrs,Adults,1
20,1,3,0,1,Miss,Adults,0
21,0,3,1,2,Mrs,Adults,0
22,1,2,1,2,Mrs,Adults,1
23,0,3,1,2,Mrs,Adults,0
24,1,2,0,2,Mrs,Adults,1
25,0,2,1,2,Mrs,Adults,0
26,1,1,1,0,Mrs,old,2
27,1,1,1,2,Officer,Adults,2
28,0,3,1,2,Mrs,Adults,0
29,0,3,0,0,Miss,teenager,0
30,0,3,1,2,Mrs,Adults,0
31,0,2,1,2,Mrs,Adults,1
32,0,1,1,2,Mrs,Adults,0
33,0,1,1,2,Officer,Adults,0
34,1,2,0,2,Mrs,Adults,3
35,0,1,1,0,Royalty,Adults,0
36,0,2,1,2,Mrs,Adults,1
37,1,1,1,2,Mrs,Adults,0
38,0,3,1,2,Mrs,Adults,0
39,1,2,0,0,Miss,child,3
40,1,2,0,2,Miss,Adults,0
41,0,3,1,1,Mrs,Adults,0
42,0,2,1,2,Mrs,Adults,1
43,0,3,0,2,Miss,teenager,7
44,0,3,1,2,Mrs,Adults,1
45,1,1,0,0,Miss,Adults,0
46,0,3,1,1,Mrs,Adults,0
47,0,3,1,2,Master,teenager,5
48,0,2,1,2,Officer,Adults,0
49,0,2,1,2,Mrs,Adults,0
50,0,1,1,2,Mrs,Adults,0
51,0,3,1,2,Mrs,Adults,0
52,1,3,1,2,Mrs,Adults,0
53,1,3,1,2,Mrs,Adults,0
54,1,3,1,2,Mrs,Adults,0
55,0,3,1,2,Mrs,Adults,0
56,0,1,1,0,Mrs,Adults,0
57,0,3,1,1,Mrs,old,0
58,0,2,1,0,Mrs,Adults,3
59,0,1,1,0,Mrs,Adults,0
60,1,1,0,2,Mrs,Adults,1
61,0,3,0,2,Mrs,Adults,5
62,1,1,0,0,Miss,Adults,0
63,1,2,0,2,Miss,Adults,0
64,0,3,1,1,Master,teenager,5
65,0,3,0,2,Miss,Adults,0
66,0,3,1,2,Mrs,Adults,0
67,0,2,1,2,Officer,Adults,0
68,0,2,1,2,Mrs,Adults,0
69,1,1,0,2,Mrs,Adults,0
70,0,3,0,2,Mrs,Adults,1
71,1,3,0,1,Miss,Adults,0
72,1,1,1,2,Mrs,Adults,0
73,1,2,0,2,Mrs,Adults,0
74,0,3,1,2,Mrs,Adults,0
75,0,3,1,0,Mrs,Adults,0
76,1,2,0,2,Miss,Adults,0
77,0,1,1,0,Mrs,Adults,0
78,1,3,0,1,Miss,Adults,0
79,1,3,0,2,Miss,Adults,0
80,0,3,0,2,Miss,Adults,0
81,0,3,0,2,Mrs,Adults,0
82,1,2,1,2,Master,child,2
83,0,3,1,2,Mrs,Adults,1
84,0,3,1,1,Mrs,Adults,0
85,0,3,1,2,Mrs,Adults,0
86,0,3,1,2,Mrs,Adults,0
87,1,1,0,2,Miss,Adults,2
88,0,1,1,2,Mrs,old,0
89,0,3,1,2,Mrs,Adults,0
90,1,3,0,2,Mrs,Adults,2
91,1,1,0,2,Mrs,Adults,1
92,1,1,0,0,Miss,Adults,0
93,0,3,0,2,Mrs,teenager,1
94,0,3,1,2,Mrs,Adults,0
95,0,3,1,0,Mrs,Adults,0
96,0,3,1,0,Mrs,Adults,0
97,0,3,0,2,Miss,Adults,3
98,1,1,0,0,Mrs,Adults,1
99,0,3,1,2,Mrs,Adults,0
100,0,3,1,1,Mrs,Adults,0
101,0,3,1,1,Mrs,Adults,0
102,0,3,1,2,Master,child,5
103,1,3,1,2,Mrs,Adults,0
104,0,3,1,0,Mrs,Adults,0
105,0,3,1,2,Mrs,Adults,0
106,0,3,1,1,Mrs,Adults,0
107,0,3,0,0,Mrs,Adults,2
108,0,3,0,2,Miss,Adults,10
109,0,3,1,2,Mrs,Adults,2
110,1,1,1,0,Mrs,Adults,0
111,1,3,1,2,Master,child,2
112,0,2,1,2,Mrs,Adults,0
113,0,3,1,2,Mrs,Adults,0
114,1,3,1,2,Mrs,Adults,0
115,0,1,1,2,Mrs,Adults,0
116,0,3,1,2,Mrs,teenager,0
117,1,3,1,0,Mrs,Adults,0
118,0,3,1,2,Mrs,Adults,2
119,0,3,1,2,Mrs,Adults,0
120,0,3,0,2,Miss,Adults,0
121,0,3,1,2,Mrs,Adults,0
122,0,1,1,2,Mrs,Adults,0
123,1,1,1,0,Officer,old,0
124,1,3,1,2,Mrs,Adults,0
125,0,3,1,2,Mrs,Adults,0
126,1,3,1,2,Mrs,Adults,0
127,0,3,1,2,Mrs,Adults,0
128,1,1,1,2,Mrs,Adults,0
129,0,2,1,2,Mrs,Adults,0
130,0,3,1,2,Mrs,Adults,0
131,1,3,0,1,Miss,Adults,0
132,0,3,1,2,Mrs,old,0
133,0,3,1,2,Mrs,Adults,0
134,1,2,0,2,Miss,Adults,0
135,0,3,1,2,Mrs,teenager,0
136,0,1,0,2,Mrs,Adults,3
137,1,1,0,0,Miss,Adults,0
138,0,1,1,2,Mrs,Adults,0
139,1,1,0,0,Miss,Adults,0
140,1,2,0,2,Mrs,Adults,2
141,1,3,0,2,Miss,Adults,0
142,0,3,1,2,Mrs,Adults,0
143,1,3,1,0,Mrs,Adults,0
144,1,2,1,2,Mrs,old,0
145,1,3,0,2,Mrs,Adults,3
146,1,3,1,1,Mrs,Adults,2
147,1,1,0,2,Miss,old,0
148,0,2,0,2,Mrs,Adults,2
149,0,3,1,2,Mrs,Adults,0
150,0,3,0,2,Miss,Adults,0
151,0,3,1,2,Mrs,Adults,0
152,0,3,0,2,Mrs,Adults,7
153,0,3,0,2,Miss,child,5
154,0,3,1,1,Mrs,old,0
155,0,3,1,1,Mrs,Adults,0
156,0,3,1,1,Mrs,Adults,0
157,0,3,0,2,Miss,Adults,0
158,0,3,1,1,Master,child,5
159,0,3,1,2,Mrs,Adults,0
160,0,3,1,2,Mrs,Adults,0
161,0,2,1,2,Mrs,Adults,1
162,1,2,0,0,Mrs,Adults,1
163,1,3,0,0,Mrs,Adults,3
164,1,1,0,2,Miss,Adults,0
165,0,3,1,2,Master,teenager,6
166,1,3,0,2,Miss,child,2
167,0,3,1,2,Mrs,Adults,0
168,1,1,0,0,Miss,Adults,1
169,1,3,0,0,Mrs,Adults,0
170,0,2,1,2,Mrs,Adults,0
171,0,3,1,2,Mrs,Adults,0
172,0,1,1,1,Officer,Adults,2
173,0,3,1,2,Mrs,Adults,0
174,1,2,0,0,Miss,teenager,0
175,0,3,1,2,Mrs,teenager,5
176,0,3,1,2,Mrs,Adults,0
177,1,1,1,2,Mrs,Adults,0
178,0,2,1,2,Mrs,Adults,0
179,0,2,1,2,Mrs,teenager,0
180,0,3,0,2,Mrs,Adults,5
181,0,2,1,0,Mrs,Adults,1
182,0,2,1,2,Mrs,teenager,0
183,1,1,1,2,Mrs,Adults,0
184,1,2,0,2,Miss,teenager,1
185,0,3,1,2,Mrs,Adults,2
186,0,3,1,2,Mrs,Adults,0
187,0,1,1,0,Mrs,Adults,0
188,1,2,1,2,Master,child,2
189,1,1,1,2,Mrs,Adults,0
190,1,2,0,2,Mrs,Adults,3
191,1,2,0,2,Miss,Adults,0
192,1,2,0,2,Mrs,Adults,1
193,1,2,0,2,Miss,child,2
194,1,2,0,2,Miss,child,2
195,0,3,1,2,Mrs,Adults,1
196,0,3,0,2,Miss,teenager,5
197,0,3,1,2,Mrs,Adults,6
198,0,3,1,2,Mrs,Adults,0
199,0,3,0,2,Mrs,Adults,2
200,0,2,1,2,Mrs,Adults,0
201,1,1,0,2,Miss,Adults,0
202,0,3,1,2,Mrs,Adults,0
203,0,3,1,2,Mrs,Adults,10
204,0,3,1,2,Mrs,Adults,0
205,0,3,1,2,Mrs,teenager,0
206,0,2,0,2,Miss,Adults,0
207,1,3,0,1,Miss,Adults,0
208,0,3,1,2,Mrs,Adults,0
209,0,3,0,2,Mrs,Adults,1
210,0,3,0,1,Miss,Adults,0
211,1,3,1,2,Mrs,Adults,1
212,0,3,1,2,Mrs,Adults,0
213,0,3,1,2,Mrs,Adults,0
214,0,2,1,0,Mrs,Adults,0
215,1,3,1,2,Master,teenager,2
216,0,3,1,2,Mrs,teenager,4
217,0,3,1,2,Mrs,teenager,0
218,1,2,1,2,Mrs,Adults,0
219,0,2,0,2,Mrs,Adults,1
220,1,2,0,2,Mrs,Adults,1
221,1,1,0,2,Miss,teenager,1
222,0,3,1,1,Mrs,Adults,0
223,1,2,0,0,Mrs,Adults,3
224,1,1,1,2,Mrs,Adults,1
225,0,2,1,2,Mrs,Adults,0
226,1,2,0,2,Miss,teenager,2
227,0,2,1,2,Mrs,Adults,0
228,1,3,0,2,Miss,child,2
229,0,3,0,2,Miss,Adults,0
230,0,3,0,0,Mrs,Adults,1
231,0,1,1,0,Mrs,old,2
232,0,3,1,2,Master,child,4
233,1,1,0,0,Miss,Adults,0
234,0,3,1,2,Mrs,old,0
235,1,2,1,2,Mrs,Adults,0
236,0,2,1,2,Mrs,Adults,1
237,0,3,1,2,Mrs,Adults,0
238,1,2,0,2,Mrs,Adults,3
239,1,3,0,0,Mrs,Adults,0
240,0,3,1,2,Mrs,Adults,0
241,0,1,1,2,Mrs,old,0
242,0,3,1,2,Mrs,Adults,0
243,1,3,0,1,Miss,Adults,0
244,1,1,0,2,Miss,Adults,1
245,1,3,1,2,Mrs,Adults,0
246,0,3,1,2,Mrs,Adults,2
247,0,3,1,2,Mrs,teenager,7
248,1,3,1,2,Mrs,Adults,0
249,0,3,1,2,Mrs,Adults,0
250,0,3,1,2,Mrs,Adults,0
251,0,2,1,0,Mrs,Adults,2
252,0,3,1,2,Mrs,Adults,2
253,1,2,0,2,Miss,Adults,0
254,0,3,0,2,Miss,teenager,6
255,1,1,0,0,Mrs,Adults,1
256,0,3,1,2,Mrs,Adults,1
257,1,3,1,2,Master,child,2
258,1,3,0,1,Miss,Adults,0
259,0,3,1,2,Mrs,Adults,5
260,1,1,1,0,Mrs,Adults,0
261,0,3,1,2,Mrs,Adults,0
262,0,3,1,2,Mrs,Adults,0
263,0,1,1,0,Mrs,Adults,0
264,0,3,1,2,Mrs,Adults,0
265,1,1,0,2,Officer,Adults,0
266,0,2,1,2,Mrs,Adults,2
267,1,3,0,2,Mrs,Adults,6
268,1,2,0,2,Miss,child,1
269,0,3,1,0,Mrs,Adults,0
270,0,2,1,2,Mrs,Adults,0
271,1,2,0,2,Mrs,Adults,1
272,1,1,0,2,Miss,Adults,0
273,1,2,0,2,Mrs,Adults,1
274,0,3,1,0,Mrs,Adults,0
275,1,3,0,2,Miss,Adults,0
276,0,2,1,2,Mrs,Adults,2
277,1,3,0,1,Miss,Adults,0
278,1,1,0,0,Miss,Adults,2
279,1,2,0,2,Mrs,Adults,0
280,1,2,0,2,Mrs,Adults,2
281,1,2,0,2,Mrs,Adults,0
282,0,3,1,2,Mrs,Adults,0
283,0,2,1,2,Mrs,Adults,0
284,1,1,0,1,Miss,Adults,1
285,0,3,1,2,Mrs,teenager,2
286,1,3,1,1,Mrs,Adults,0
287,0,2,1,2,Mrs,Adults,0
288,0,3,1,2,Mrs,Adults,0
289,1,3,0,2,Miss,Adults,0
290,0,3,1,2,Mrs,Adults,2
291,0,3,1,2,Mrs,Adults,0
292,0,3,1,2,Mrs,Adults,0
293,0,1,1,2,Mrs,Adults,1
294,0,3,1,2,Mrs,Adults,0
295,1,3,0,1,Miss,Adults,1
296,1,3,0,2,Miss,Adults,0
297,1,2,0,2,Mrs,Adults,1
298,1,1,0,0,Mrs,Adults,1
299,1,1,1,2,Master,child,2
300,0,3,1,2,Mrs,Adults,0
301,0,3,1,2,Mrs,Adults,0
302,0,3,1,2,Mrs,teenager,2
303,0,3,1,2,Mrs,Adults,0
304,1,2,0,2,Mrs,Adults,0
305,0,2,1,2,Mrs,Adults,0
306,0,3,1,1,Mrs,Adults,0
307,0,3,1,2,Mrs,Adults,0
308,1,3,1,0,Mrs,Adults,0
309,0,3,1,0,Mrs,Adults,0
310,0,1,1,0,Mrs,Adults,0
311,1,3,0,1,Miss,Adults,0
312,0,3,1,2,Mrs,Adults,1
313,0,3,0,2,Miss,teenager,0
314,0,3,1,2,Mrs,teenager,0
315,0,3,1,2,Mrs,Adults,0
316,0,3,1,2,Mrs,Adults,0
317,0,2,1,2,Mrs,teenager,0
318,0,3,1,2,Mrs,Adults,0
319,1,2,0,2,Miss,Adults,0
320,1,3,0,2,Mrs,Adults,2
321,0,3,1,2,Mrs,old,0
322,0,3,1,2,Mrs,Adults,0
323,1,3,0,2,Miss,Adults,0
324,1,3,1,2,Mrs,Adults,0
325,1,2,0,2,Mrs,Adults,5
326,1,1,0,0,Mrs,Adults,1
327,0,3,1,2,Mrs,Adults,0
328,0,2,1,2,Mrs,Adults,0
329,0,2,1,2,Mrs,teenager,0
330,1,3,1,2,Mrs,Adults,0
331,0,2,1,2,Mrs,Adults,0
332,0,3,0,2,Miss,Adults,4
333,0,3,1,2,Mrs,Adults,10
334,0,3,1,2,Mrs,Adults,0
335,0,3,1,2,Mrs,Adults,0
336,1,1,0,2,Mrs,Adults,1
337,0,3,1,2,Mrs,Adults,0
338,0,3,1,2,Mrs,Adults,0
339,0,3,0,2,Miss,Adults,1
340,0,3,0,2,Miss,child,6
341,0,3,1,2,Mrs,Adults,2
342,0,3,0,1,Mrs,Adults,5
343,0,3,1,0,Mrs,Adults,0
344,0,3,1,2,Mrs,Adults,0
345,0,3,0,2,Miss,Adults,1
346,1,1,1,2,Mrs,Adults,0
347,0,2,1,2,Mrs,teenager,0
348,0,2,1,0,Mrs,Adults,0
349,0,1,1,2,Mrs,Adults,1
350,0,3,0,0,Miss,teenager,1
351,0,3,1,2,Mrs,Adults,0
352,1,3,0,0,Miss,teenager,1
353,1,1,0,2,Miss,teenager,0
354,0,3,1,0,Mrs,Adults,0
355,0,2,0,2,Mrs,Adults,1
356,0,3,1,1,Mrs,Adults,1
357,0,3,1,2,Mrs,Adults,0
358,1,2,0,2,Miss,Adults,3
359,0,3,1,2,Mrs,teenager,0
360,1,2,1,2,Master,child,2
361,1,1,0,2,Mrs,Adults,1
362,0,3,1,0,Mrs,Adults,0
363,1,1,0,0,Miss,Adults,0
364,0,3,1,1,Mrs,Adults,0
365,0,3,1,2,Mrs,Adults,0
366,0,3,0,0,Miss,Adults,1
367,1,1,0,2,Mrs,Adults,1
368,1,2,0,2,Miss,Adults,2
369,0,3,1,2,Mrs,Adults,0
370,0,1,0,2,Miss,child,3
371,0,3,0,2,Miss,Adults,4
372,1,1,1,0,Mrs,Adults,0
373,1,2,0,2,Miss,teenager,0
374,0,3,0,2,Miss,teenager,2
375,0,3,1,2,Mrs,Adults,0
376,1,2,0,2,Miss,child,3
377,0,1,1,0,Mrs,Adults,1
378,1,3,0,1,Miss,Adults,1
379,1,3,1,0,Mrs,Adults,2
380,0,3,1,2,Mrs,Adults,0
381,0,3,1,2,Mrs,Adults,10
382,0,3,0,1,Miss,Adults,0
383,0,1,1,2,Mrs,old,0
384,1,3,1,2,Master,child,3
385,0,1,1,0,Mrs,Adults,1
386,1,2,0,2,Miss,Adults,0
387,1,3,0,0,Miss,teenager,0
388,0,2,1,2,Mrs,Adults,0
389,0,2,1,2,Mrs,Adults,0
390,0,3,1,2,Mrs,Adults,0
391,0,3,1,1,Mrs,Adults,0
392,0,2,1,2,Mrs,Adults,1
393,1,2,0,2,Mrs,Adults,2
394,0,3,1,2,Mrs,Adults,0
395,1,3,1,2,Mrs,Adults,0
396,1,1,0,2,Mrs,old,0
397,0,1,1,2,Mrs,Adults,0
398,1,1,0,0,Royalty,Adults,1
399,1,1,0,2,Miss,Adults,0
400,1,1,0,2,Mrs,teenager,1
401,0,3,1,2,Mrs,Adults,0
402,0,2,1,2,Mrs,Adults,0
403,0,1,1,0,Mrs,Adults,0
404,0,2,1,2,Mrs,Adults,2
405,0,3,1,2,Mrs,Adults,0
406,0,3,1,1,Mrs,Adults,0
407,0,3,1,2,Mrs,Adults,0
408,1,1,1,2,Mrs,Adults,1
409,0,3,0,0,Miss,teenager,2
410,0,3,1,2,Master,child,5
411,1,2,0,2,Mrs,Adults,1
412,1,1,0,2,Mrs,Adults,2
413,1,2,1,2,Master,teenager,2
414,1,2,0,2,Mrs,Adults,1
415,1,1,0,2,Miss,Adults,0
416,0,2,0,2,Mrs,old,0
417,1,1,1,2,Mrs,Adults,3
418,0,3,1,2,Mrs,Adults,0
419,0,2,1,2,Mrs,Adults,0
420,0,1,1,0,Mrs,teenager,1
421,1,2,0,2,Mrs,Adults,0
422,0,2,1,2,Officer,Adults,0
423,0,1,1,0,Officer,Adults,0
424,1,2,0,2,Mrs,Adults,2
425,0,3,1,2,Mrs,Adults,1
426,1,2,1,2,Master,child,2
427,0,3,1,1,Mrs,Adults,1
428,1,2,0,1,Miss,Adults,0
429,0,3,1,0,Mrs,Adults,0
430,0,3,1,2,Master,teenager,5
431,1,1,0,2,Mrs,Adults,1
432,1,3,1,2,Mrs,Adults,0
433,0,3,1,2,Mrs,Adults,0
434,0,2,1,2,Mrs,Adults,0
435,0,3,1,2,Mrs,Adults,0
436,0,3,1,2,Mrs,teenager,5
437,0,3,0,2,Mrs,Adults,6
438,0,2,1,2,Mrs,Adults,0
439,1,3,0,1,Miss,Adults,0
440,0,1,1,2,Mrs,Adults,1
441,1,1,0,0,Mrs,Adults,2
442,0,3,1,2,Mrs,Adults,0
443,1,2,1,2,Mrs,Adults,0
444,0,3,1,2,Mrs,Adults,0
445,1,1,0,0,Miss,Adults,0
